track_id,danceability,energy,key_,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id,name,artist,album,duration_ms,popularity,explicit,url,track_id,user_id,rating,date
0BCPKOYdS2jbQ8iyB56Zns,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,NULL,4,0BCPKOYdS2jbQ8iyB56Zns,Clocks,Coldplay,"A Rush of Blood to the Head",307879,83,0,https://open.spotify.com/track/0BCPKOYdS2jbQ8iyB56Zns,0BCPKOYdS2jbQ8iyB56Zns,31sk54n54vp7yoro5vkuuhi66gx4,7,"2024-03-12 20:27:08"
0BOlnhy7b9aCHMigRsKaTR,0.599,0.743,0,-4.53,0,0.0345,0.413,0,0.463,0.73,115.473,NULL,4,0BOlnhy7b9aCHMigRsKaTR,"Go Away","Steve Perry","Street Talk (Expanded Edition)",247160,35,0,https://open.spotify.com/track/0BOlnhy7b9aCHMigRsKaTR,0BOlnhy7b9aCHMigRsKaTR,1166187914,7,"2024-03-12 22:07:15"
0BsQC0YXVDFVcNNPJgRTEM,0.593,0.773,9,-7.858,1,0.0422,0.0693,0.21,0.11,0.718,73.969,NULL,4,0BsQC0YXVDFVcNNPJgRTEM,"How Long is Soon?",comforter2,"Tell Me Something Happy (Before I Fall Asleep)",279259,8,0,https://open.spotify.com/track/0BsQC0YXVDFVcNNPJgRTEM,0BsQC0YXVDFVcNNPJgRTEM,mixe9z16uy1hig6t9cv5e7eam,9,"2024-03-12 20:27:08"
0C8rPEfM8lZA05al27k0Pq,0.149,0.186,10,-25.13,1,0.0337,0.887,0.898,0.125,0.0803,76.264,NULL,4,0C8rPEfM8lZA05al27k0Pq,"3 AM","Dhyana Dan","Summer Breeze",94647,52,0,https://open.spotify.com/track/0C8rPEfM8lZA05al27k0Pq,0C8rPEfM8lZA05al27k0Pq,1166187914,6,"2024-03-12 20:27:08"
0Cf8tVkC0c2vnLwxTCFePE,0.537,0.945,1,-3.948,0,0.0577,0.00266,0.0253,0.34,0.323,159.921,NULL,4,0Cf8tVkC0c2vnLwxTCFePE,"THE ONE THAT GOT AWAY",Hardstylerzz,"THE ONE THAT GOT AWAY",175165,49,0,https://open.spotify.com/track/0Cf8tVkC0c2vnLwxTCFePE,0Cf8tVkC0c2vnLwxTCFePE,1168953320,7,"2024-03-12 20:27:08"
0cfxGRaCEFKwz66bURIYz5,0.204,0.817,9,-3.706,0,0.0505,0.0196,0.000029,0.0678,0.195,149.686,NULL,4,0cfxGRaCEFKwz66bURIYz5,"Silence - Brennan Heart Remix",Delerium,"Silence (feat. Sarah McLachlan) [Brennan Heart Remix]",263453,51,0,https://open.spotify.com/track/0cfxGRaCEFKwz66bURIYz5,0cfxGRaCEFKwz66bURIYz5,1168953320,10,"2024-03-12 20:27:08"
0CicjlSiN0HdzD2nigN9j4,0.546,0.85,6,-4.315,1,0.0322,0.0123,0,0.193,0.584,135.162,NULL,4,0CicjlSiN0HdzD2nigN9j4,"Sleeping in My Car - Single Version",Roxette,"Don't Bore Us - Get to the Chorus! Roxette's Greatest Hits",214160,47,0,https://open.spotify.com/track/0CicjlSiN0HdzD2nigN9j4,0CicjlSiN0HdzD2nigN9j4,1166187914,8,"2024-03-12 20:27:08"
0CSTvWUps1YmpQoXXay9ol,0.524,0.803,9,-5.56,0,0.0366,0.145,0.000191,0.115,0.0827,140.003,NULL,4,0CSTvWUps1YmpQoXXay9ol,"Cosmic Love","Florence + The Machine","Lungs (Deluxe Edition)",NULL,64,0,https://open.spotify.com/track/0CSTvWUps1YmpQoXXay9ol,0CSTvWUps1YmpQoXXay9ol,11136633984,8,"2024-03-12 20:27:08"
0dGqP4VickYjtIaB5VOt4H,0.451,0.627,8,-4.59,1,0.127,0.591,0.00958,0.118,0.77,74.69,NULL,4,0dGqP4VickYjtIaB5VOt4H,"3:15 (Breathe)",Russ,"3:15 (Breathe)",184000,81,1,https://open.spotify.com/track/0dGqP4VickYjtIaB5VOt4H,0dGqP4VickYjtIaB5VOt4H,1168953320,3,"2024-03-12 20:27:08"
0DwARtsLuGqAQzjQikItsA,0.672,0.451,11,-15.245,1,0.0331,0.261,0,0.108,0.649,100.584,NULL,4,0DwARtsLuGqAQzjQikItsA,"Could This Be Love",TOTO,Fahrenheit,314440,38,0,https://open.spotify.com/track/0DwARtsLuGqAQzjQikItsA,0DwARtsLuGqAQzjQikItsA,1166187914,7,"2024-03-12 20:27:08"
